no_of_gears,city_mpg,highway_mpg,car_volume,Power_Index,Car_Age,Avg_MPG,displacement,cylinders,hp,torque
6.0,18,25,4044040,16.433578272988516,16,21.5,3.2,6.0,250.0,236.0
6.0,22,28,4044040,13.146862618390813,16,25.0,2.0,4.0,200.0,207.0
6.0,21,30,4044040,13.146862618390813,16,25.5,2.0,4.0,200.0,207.0
6.0,21,28,4044040,13.146862618390813,16,24.5,2.0,4.0,200.0,207.0
6.0,16,27,95914,23.101296463737473,16,21.5,3.2,6.0,265.0,243.0
6.0,17,26,95914,23.101296463737473,16,21.5,3.2,6.0,265.0,243.0
6.0,13,18,8484411,21.938427895304734,16,15.5,4.2,8.0,350.0,325.0
6.0,14,20,8484411,17.550742316243788,16,17.0,3.6,6.0,280.0,266.0
6.0,22,30,479808,16.130088460711054,16,26.0,2.0,4.0,211.0,258.0
6.0,21,27,479808,16.130088460711054,16,24.0,2.0,4.0,211.0,258.0
6.0,17,26,479808,20.258167971983077,16,21.5,3.2,6.0,265.0,243.0
6.0,20,29,942732,20.35395767543088,13,24.5,3.5,6.0,280.0,254.0
6.0,18,26,942732,22.171275325022922,13,22.0,3.7,6.0,305.0,273.0
6.0,12,17,9460344,31.294510966729458,15,14.5,4.4,8.0,507.5,500.0
6.0,12,17,9460344,31.294510966729458,14,14.5,4.4,8.0,507.5,500.0
6.0,12,17,339216,37.19493693794182,15,14.5,4.4,8.0,507.5,500.0
6.0,12,17,339216,37.19493693794182,14,14.5,4.4,8.0,507.5,500.0
5.0,18,25,445984,14.221972833196412,13,21.5,2.9,4.0,185.0,190.0
5.0,18,25,2838080,12.450669540802416,13,21.5,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,13,21.5,2.9,4.0,185.0,190.0
5.0,18,25,445984,14.221972833196412,14,21.5,2.9,4.0,185.0,190.0
5.0,18,25,2838080,12.450669540802416,14,21.5,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,14,21.5,2.9,4.0,185.0,190.0
5.0,18,25,445984,14.221972833196412,15,21.5,2.9,4.0,185.0,190.0
5.0,20,26,2838080,12.450669540802416,15,23.0,2.9,4.0,185.0,190.0
4.0,18,25,3040800,12.393124768906098,15,21.5,2.9,4.0,185.0,190.0
4.0,13,18,1011780,22.4195419915801,13,15.5,5.3,8.0,310.0,334.0
4.0,9,12,1011780,22.4195419915801,13,10.5,5.3,8.0,310.0,334.0
4.0,13,17,1011780,22.4195419915801,14,15.0,5.3,8.0,310.0,334.0
4.0,13,17,1011780,22.4195419915801,14,15.0,5.3,8.0,310.0,334.0
6.0,8,12,289080,22.267353898972942,14,10.0,4.8,8.0,280.0,295.0
6.0,8,12,289080,25.76650951166869,14,10.0,6.0,8.0,324.0,373.0
4.0,10,13,322560,24.440148060744217,15,11.5,5.3,8.0,310.0,334.0
4.0,13,17,322560,24.440148060744217,15,15.0,5.3,8.0,310.0,334.0
4.0,15,20,1861398,13.507111990950172,14,17.5,4.3,6.0,195.0,260.0
4.0,14,19,4231200,19.792900154688375,14,16.5,4.8,8.0,302.0,305.0
4.0,15,20,4331175,12.760652977749485,14,17.5,4.3,6.0,195.0,260.0
4.0,15,20,4331175,12.760652977749485,15,17.5,4.3,6.0,195.0,260.0
4.0,15,20,1861398,13.507111990950172,15,17.5,4.3,6.0,195.0,260.0
4.0,14,19,4231200,19.792900154688375,15,16.5,4.8,8.0,302.0,305.0
6.0,18,26,116272,30.007640408199773,14,22.0,3.7,6.0,350.0,276.0
6.0,18,26,136500,29.600593559576772,15,22.0,3.7,6.0,350.0,276.0
6.0,18,26,136500,29.600593559576772,16,22.0,3.7,6.0,350.0,276.0
6.0,21,29,6929832,14.4114665546201,14,25.0,2.5,5.0,227.0,236.0
5.0,21,30,6929832,14.4114665546201,14,25.5,2.5,5.0,227.0,236.0
5.0,21,30,6393595,14.485533124218694,15,25.5,2.5,5.0,227.0,236.0
6.0,21,29,6393595,14.485533124218694,15,25.0,2.5,5.0,227.0,236.0
6.0,9,15,702134,37.19493693794182,15,12.0,6.8,8.0,507.5,552.5
6.0,8,14,2953665,34.06370007667184,13,11.0,6.0,12.0,507.5,552.5
6.0,8,14,3349170,33.77878417633457,13,11.0,6.0,12.0,507.5,552.5
6.0,8,14,2953665,34.06370007667184,14,11.0,6.0,12.0,507.5,552.5
6.0,12,19,2953665,34.06370007667184,15,15.5,6.0,12.0,507.5,552.5
6.0,8,13,3691040,33.56166487931661,13,10.5,6.0,12.0,507.5,479.0
6.0,11,19,3378240,33.75936494924142,13,15.0,6.0,12.0,507.5,552.5
6.0,10,17,5786800,32.59245137780967,14,13.5,6.0,12.0,507.5,552.5
6.0,10,17,5786800,32.59245137780967,15,13.5,6.0,12.0,507.5,552.5
6.0,10,17,6099600,32.482632044976974,15,13.5,6.0,12.0,507.5,479.0
5.0,19,28,36960,21.582832486023534,14,23.5,2.5,5.0,227.0,236.0
6.0,20,28,1204280,16.212672244980993,15,24.0,2.5,5.0,227.0,236.0
5.0,19,28,1204280,16.212672244980993,15,23.5,2.5,5.0,227.0,236.0
5.0,21,29,4950504,10.898475405138324,15,25.0,2.4,5.0,168.0,166.0
5.0,21,30,4950504,14.725916172419046,15,25.5,2.5,5.0,227.0,236.0
5.0,21,30,4950504,14.725916172419046,14,25.5,2.5,5.0,227.0,236.0
6.0,20,27,5468580,14.631445748767382,15,23.5,2.5,5.0,227.0,236.0
6.0,20,30,277704,19.945246821936,13,25.0,2.5,5.0,250.0,266.0
6.0,18,26,277704,23.934296186323202,13,22.0,3.0,6.0,300.0,325.0
6.0,18,26,277704,25.9288208685168,13,22.0,3.0,6.0,325.0,354.0
6.0,18,26,204624,24.531982287289868,14,22.0,3.0,6.0,300.0,325.0
6.0,19,27,3571371,15.906195445956644,14,23.0,3.2,6.0,240.0,236.0
6.0,15,22,3571371,20.611778265385485,15,18.5,4.4,8.0,311.0,325.0
6.0,16,24,3571371,18.623503834640903,15,20.0,3.0,6.0,281.0,295.0
6.0,18,27,3571371,15.57481637416588,15,22.5,3.2,6.0,235.0,236.0
5.0,21,30,6999642,14.402301591696858,14,25.5,2.5,5.0,227.0,236.0
6.0,20,26,7632378,14.323655160112285,15,23.0,2.5,5.0,227.0,236.0
5.0,20,31,6999642,10.658972103106045,15,25.5,2.4,5.0,168.0,166.0
6.0,17,22,322525,23.651958531195973,14,19.5,3.0,6.0,300.0,325.0
6.0,18,25,322525,18.921566824956777,14,21.5,3.2,6.0,240.0,236.0
6.0,16,21,322525,22.154001157553562,15,18.5,3.0,6.0,281.0,295.0
6.0,18,27,322525,18.527367516103514,15,22.5,3.2,6.0,235.0,236.0
6.0,18,25,1047420,17.31371692730229,14,21.5,3.2,6.0,240.0,236.0
6.0,17,22,1047420,21.64214615912786,14,19.5,3.0,6.0,300.0,325.0
6.0,16,21,1047420,20.2714769023831,15,18.5,3.0,6.0,281.0,295.0
6.0,16,22,1047420,16.953014491316825,15,19.0,3.2,6.0,235.0,236.0
5.0,17,23,689472,20.083782374413456,14,20.0,4.0,6.0,270.0,278.0
5.0,17,22,124416,23.015167469672598,14,19.5,4.0,6.0,270.0,278.0
5.0,17,22,2671704,18.245428499013343,14,19.5,4.0,6.0,270.0,278.0
5.0,17,23,689472,20.083782374413456,14,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,14,19.5,4.0,6.0,270.0,278.0
6.0,16,22,5187000,15.522259773274884,14,19.0,3.2,6.0,240.0,236.0
6.0,14,21,5187000,20.114261622868703,14,17.5,4.4,8.0,311.0,325.0
6.0,15,22,5187000,15.198879361331658,15,18.5,3.2,6.0,235.0,236.0
6.0,13,19,5187000,20.114261622868703,15,16.0,4.4,8.0,311.0,325.0
6.0,18,27,148350,19.735732053468517,15,22.5,3.2,6.0,235.0,236.0
4.0,18,23,689472,11.678347528825602,15,20.5,2.7,4.0,157.0,178.0
5.0,17,23,689472,20.083782374413456,15,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,15,19.5,4.0,6.0,270.0,278.0
5.0,17,22,2671704,18.245428499013343,15,19.5,4.0,6.0,270.0,278.0
5.0,17,23,689472,20.083782374413456,15,20.0,4.0,6.0,270.0,278.0
5.0,17,22,689472,20.083782374413456,15,19.5,4.0,6.0,270.0,278.0
6.0,21,30,5689684,12.858291929345217,13,25.5,2.0,4.0,200.0,207.0
6.0,17,25,2079360,18.62853918401989,15,21.0,3.5,6.0,271.0,251.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,19,28,2079360,18.62853918401989,15,23.5,3.5,6.0,271.0,251.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,2079360,13.060599427910622,15,26.0,2.4,4.0,190.0,162.0
5.0,22,31,2079360,13.060599427910622,15,26.5,2.4,4.0,190.0,162.0
6.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
6.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,14,21.5,3.7,6.0,332.0,270.0
6.0,18,25,384750,25.81577930488825,15,21.5,3.7,6.0,332.0,270.0
6.0,18,25,384750,25.81577930488825,15,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,15,21.5,3.7,6.0,332.0,270.0
7.0,18,25,384750,25.81577930488825,15,21.5,3.7,6.0,332.0,270.0
6.0,21,30,5689684,12.858291929345217,14,25.5,2.0,4.0,200.0,207.0
6.0,18,26,273000,26.52343852816275,14,22.0,3.7,6.0,332.0,270.0
6.0,18,26,273000,26.52343852816275,14,22.0,3.7,6.0,332.0,270.0
7.0,19,26,273000,26.52343852816275,14,22.5,3.7,6.0,332.0,270.0
6.0,21,30,5689684,12.858291929345217,15,25.5,2.0,4.0,200.0,207.0
7.0,19,26,273000,26.52343852816275,15,22.5,3.7,6.0,332.0,270.0
6.0,18,26,273000,26.52343852816275,15,22.0,3.7,6.0,332.0,270.0
6.0,18,26,273000,26.52343852816275,15,22.0,3.7,6.0,332.0,270.0
7.0,19,26,273000,26.52343852816275,15,22.5,3.7,6.0,332.0,270.0
6.0,21,31,3463320,14.01272839303511,13,26.0,2.0,4.0,211.0,258.0
7.5,21,29,3463320,14.01272839303511,13,25.0,2.0,4.0,211.0,258.0
6.0,21,31,2988510,14.151304839746084,14,26.0,2.0,4.0,211.0,258.0
7.5,21,29,2988510,14.151304839746084,14,25.0,2.0,4.0,211.0,258.0
5.0,29,38,2046186,8.257928911820034,13,33.5,1.6,4.0,120.0,112.0
5.0,29,38,2046186,8.257928911820034,13,33.5,1.6,4.0,120.0,112.0
5.0,29,38,2046186,8.257928911820034,13,33.5,1.6,4.0,120.0,112.0
5.0,29,37,1760160,8.344392063359594,14,33.0,1.6,4.0,120.0,112.0
5.0,28,37,1760160,8.344392063359594,14,32.5,1.6,4.0,120.0,112.0
5.0,28,37,1760160,8.344392063359594,14,32.5,1.6,4.0,120.0,112.0
5.0,21,30,6929832,14.4114665546201,14,25.5,2.5,5.0,227.0,236.0
6.0,21,29,6929832,14.4114665546201,14,25.0,2.5,5.0,227.0,236.0
5.0,21,30,6393595,14.485533124218694,15,25.5,2.5,5.0,227.0,236.0
6.0,21,29,6393595,14.485533124218694,15,25.0,2.5,5.0,227.0,236.0
6.0,21,27,474810,16.143010721928952,15,24.0,2.0,4.0,211.0,258.0
6.0,22,30,474810,16.143010721928952,15,26.0,2.0,4.0,211.0,258.0
5.0,21,29,4950504,10.898475405138324,15,25.0,2.4,5.0,168.0,166.0
5.0,20,27,5468580,14.631445748767382,15,23.5,2.5,5.0,227.0,236.0
7.5,21,29,3675360,13.957646359622776,13,25.0,2.0,4.0,211.0,258.0
7.5,21,29,3171480,14.095130157149264,14,25.0,2.0,4.0,211.0,258.0
6.0,23,30,500650,16.077826395899265,15,26.5,2.0,4.0,211.0,258.0
5.0,23,32,2079360,13.060599427910622,14,27.5,2.4,4.0,190.0,162.0
5.0,22,33,2079360,13.060599427910622,14,27.5,2.4,4.0,190.0,162.0
6.0,17,26,2079360,18.62853918401989,14,21.5,3.5,6.0,271.0,251.0
5.0,23,32,2079360,13.060599427910622,14,27.5,2.4,4.0,190.0,162.0
5.0,19,29,2079360,18.62853918401989,14,24.0,3.5,6.0,271.0,251.0
5.0,22,33,2079360,13.060599427910622,14,27.5,2.4,4.0,190.0,162.0
5.0,22,33,2079360,13.060599427910622,14,27.5,2.4,4.0,190.0,162.0
5.0,29,38,8112948,7.542913527788681,13,33.5,1.6,4.0,120.0,112.0
5.0,29,38,8112948,7.542913527788681,13,33.5,1.6,4.0,120.0,112.0
5.0,28,37,6978880,7.614986705367594,14,32.5,1.6,4.0,120.0,112.0
5.0,28,37,6978880,7.614986705367594,14,32.5,1.6,4.0,120.0,112.0
5.0,22,31,206712,14.461863475022751,15,26.5,2.4,4.0,177.0,161.0
5.0,21,31,694980,13.158247084763595,15,26.0,2.4,4.0,177.0,161.0
5.0,22,31,694980,13.158247084763595,15,26.5,2.4,4.0,177.0,161.0
5.0,21,31,694980,13.158247084763595,15,26.0,2.4,4.0,177.0,161.0
5.0,22,31,694980,14.124672011893123,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,694980,14.124672011893123,15,26.0,2.4,4.0,190.0,162.0
5.0,22,31,694980,14.124672011893123,15,26.5,2.4,4.0,190.0,162.0
5.0,21,31,694980,14.124672011893123,15,26.0,2.4,4.0,190.0,162.0
5.0,19,29,747630,20.037465150684664,15,24.0,3.5,6.0,271.0,254.0
6.0,20,29,1820010,18.59257908316358,14,24.5,3.5,6.0,268.0,248.0
6.0,20,29,1820010,18.59257908316358,14,24.5,3.5,6.0,268.0,248.0
7.0,18,26,299250,26.330319642059173,16,22.0,3.7,6.0,332.0,270.0
7.0,18,26,299250,26.330319642059173,16,22.0,3.7,6.0,332.0,270.0
6.0,18,26,299250,26.330319642059173,16,22.0,3.7,6.0,332.0,270.0
6.0,18,26,299250,26.330319642059173,16,22.0,3.7,6.0,332.0,270.0
6.0,19,28,1811175,18.598857930329896,15,23.5,3.5,6.0,268.0,248.0
6.0,19,28,1820010,18.59257908316358,15,23.5,3.5,6.0,268.0,248.0
6.0,19,28,1820010,18.59257908316358,15,23.5,3.5,6.0,268.0,248.0
6.0,22,33,1096722,12.1514220768629,14,27.5,2.5,4.0,169.0,167.0
6.0,22,32,1096722,12.1514220768629,14,27.0,2.5,4.0,169.0,167.0
6.0,22,33,1096722,12.1514220768629,14,27.5,2.5,4.0,169.0,167.0
6.0,22,32,1096722,12.1514220768629,14,27.0,2.5,4.0,169.0,167.0
6.0,20,29,1096722,19.26971074910803,14,24.5,3.5,6.0,268.0,248.0
6.0,22,33,1068012,12.895036126283536,14,27.5,2.5,4.0,179.0,171.0
6.0,22,32,1068012,12.895036126283536,14,27.0,2.5,4.0,179.0,171.0
6.0,20,29,1068012,19.306534535441273,14,24.5,3.5,6.0,268.0,248.0
6.0,22,32,1096722,12.1514220768629,14,27.0,2.5,4.0,169.0,167.0
6.0,20,29,1096722,19.26971074910803,14,24.5,3.5,6.0,268.0,248.0
5.0,26,36,1038035,11.549977345487116,13,31.0,2.0,4.0,160.0,146.0
5.0,26,36,1038035,11.549977345487116,13,31.0,2.0,4.0,160.0,146.0
5.0,25,35,3597984,9.274050803235479,14,30.0,2.0,4.0,140.0,136.0
4.0,25,34,3597984,9.274050803235479,14,29.5,2.0,4.0,140.0,136.0
5.0,25,35,3597984,9.274050803235479,14,30.0,2.0,4.0,140.0,136.0
4.0,25,34,3597984,9.274050803235479,14,29.5,2.0,4.0,140.0,136.0
5.0,25,35,3597984,9.274050803235479,14,30.0,2.0,4.0,140.0,136.0
4.0,25,34,3597984,9.274050803235479,14,29.5,2.0,4.0,140.0,136.0
4.0,25,34,3597984,9.274050803235479,14,29.5,2.0,4.0,140.0,136.0
5.0,24,35,3597984,9.274050803235479,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3597984,9.274050803235479,15,29.0,2.0,4.0,140.0,136.0
5.0,24,35,3597984,9.274050803235479,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3597984,9.274050803235479,15,29.0,2.0,4.0,140.0,136.0
5.0,24,35,3597984,9.274050803235479,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3597984,9.274050803235479,15,29.0,2.0,4.0,140.0,136.0
5.0,24,35,3597984,9.274050803235479,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3597984,9.274050803235479,15,29.0,2.0,4.0,140.0,136.0
6.0,23,31,100914,15.188290727735167,14,27.0,2.5,4.0,175.0,180.0
6.0,18,27,100914,23.433362837077116,14,22.5,3.5,6.0,270.0,258.0
6.0,18,26,3571371,19.882744307445805,13,22.0,3.0,6.0,300.0,325.0
6.0,20,29,3571371,15.906195445956644,13,24.5,3.2,6.0,240.0,236.0
6.0,17,23,322525,25.622955075462304,13,20.0,3.0,6.0,325.0,354.0
6.0,19,25,322525,18.921566824956777,13,22.0,3.2,6.0,240.0,236.0
6.0,17,23,322525,23.651958531195973,13,20.0,3.0,6.0,300.0,325.0
6.0,17,23,1047420,21.64214615912786,13,20.0,3.0,6.0,300.0,325.0
6.0,19,25,1047420,17.31371692730229,13,22.0,3.2,6.0,240.0,236.0
6.0,16,23,5187000,15.522259773274884,13,19.5,3.2,6.0,240.0,236.0
6.0,16,23,5187000,15.522259773274884,13,19.5,3.2,6.0,240.0,236.0
6.0,23,32,100914,15.188290727735167,15,27.5,2.5,4.0,175.0,180.0
6.0,18,27,100914,23.433362837077116,15,22.5,3.5,6.0,270.0,258.0
6.0,22,33,1091183,12.15584754356203,15,27.5,2.5,4.0,169.0,167.0
6.0,22,32,1096722,12.1514220768629,15,27.0,2.5,4.0,169.0,167.0
6.0,22,33,1096722,12.1514220768629,15,27.5,2.5,4.0,169.0,167.0
6.0,22,32,1096722,12.1514220768629,15,27.0,2.5,4.0,169.0,167.0
6.0,19,28,1096722,19.26971074910803,15,23.5,3.5,6.0,268.0,248.0
6.0,22,33,1068012,12.895036126283536,15,27.5,2.5,4.0,179.0,171.0
6.0,22,32,1068012,12.895036126283536,15,27.0,2.5,4.0,179.0,171.0
6.0,19,28,1068012,19.306534535441273,15,23.5,3.5,6.0,268.0,248.0
6.0,22,32,1196424,12.075872059736193,15,27.0,2.5,4.0,169.0,167.0
6.0,19,28,1096722,19.26971074910803,15,23.5,3.5,6.0,268.0,248.0
6.0,15,22,5187000,15.198879361331658,15,18.5,3.2,6.0,235.0,236.0
6.0,16,22,5187000,15.522259773274884,14,19.0,3.2,6.0,240.0,236.0
6.0,16,21,322525,22.154001157553562,15,18.5,3.0,6.0,281.0,295.0
6.0,17,22,322525,23.651958531195973,14,19.5,3.0,6.0,300.0,325.0
6.0,18,25,322525,18.921566824956777,14,21.5,3.2,6.0,240.0,236.0
5.0,20,26,7632378,14.323655160112285,15,23.0,2.5,5.0,227.0,236.0
5.0,21,30,8621028,14.214405195781021,14,25.5,2.5,5.0,227.0,236.0
6.0,8,14,3731904,33.53724554627818,13,11.0,6.0,12.0,507.5,516.0
6.0,10,17,2614365,34.3450001572542,15,13.5,6.0,12.0,507.5,479.0
6.0,10,17,2374515,34.5701283568304,15,13.5,6.0,12.0,507.5,552.5
5.0,24,35,3636672,9.267484881071345,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3636672,9.267484881071345,15,29.0,2.0,4.0,140.0,136.0
5.0,24,35,3636672,9.267484881071345,15,29.5,2.0,4.0,140.0,136.0
4.0,24,34,3636672,9.267484881071345,15,29.0,2.0,4.0,140.0,136.0
6.0,11,18,2869425,34.12998532331732,14,14.5,6.0,12.0,507.5,552.5
6.0,10,17,2656875,34.30755162828693,15,13.5,6.0,12.0,507.5,552.5
6.0,10,17,3080025,33.96819022688653,15,13.5,6.0,12.0,507.5,479.0
6.0,9,15,763980,36.910452779409205,15,12.0,6.8,8.0,500.0,552.5
5.0,28,35,9288840,8.227208398430669,14,31.5,1.8,4.0,132.0,128.0
4.0,26,34,9288840,8.227208398430669,14,30.0,1.8,4.0,132.0,128.0
4.0,26,34,9288840,8.227208398430669,14,30.0,1.8,4.0,132.0,128.0
5.0,28,35,8528844,8.271213332898565,14,31.5,1.8,4.0,132.0,128.0
4.0,26,34,8528844,8.271213332898565,14,30.0,1.8,4.0,132.0,128.0
7.5,13,20,48672,37.19493693794182,15,16.5,6.6,12.0,507.5,552.5
7.5,21,29,320978,16.641519071190746,14,25.0,2.0,4.0,211.0,258.0
6.0,20,26,399228,16.360025429765372,15,23.0,2.0,4.0,211.0,258.0
6.0,11,18,4038384,29.78038363876891,15,14.5,6.7,12.0,453.0,531.0
6.0,11,18,4117568,29.742415908200737,15,14.5,6.7,12.0,453.0,531.0
6.0,21,31,295596,16.75034918954062,13,26.0,2.0,4.0,211.0,258.0
7.5,21,29,295596,16.75034918954062,13,25.0,2.0,4.0,211.0,258.0
6.0,11,18,2769156,30.53784321383896,15,14.5,6.7,12.0,453.0,531.0
7.5,21,29,295596,16.75034918954062,14,25.0,2.0,4.0,211.0,258.0
6.0,21,31,295596,16.75034918954062,14,26.0,2.0,4.0,211.0,258.0
6.0,22,30,96968,18.376354788479652,15,26.0,2.0,4.0,211.0,258.0
6.0,18,27,96968,23.079308146668755,15,22.5,3.2,6.0,265.0,243.0
6.0,21,27,96968,18.376354788479652,15,24.0,2.0,4.0,211.0,258.0
6.0,11,18,1935344,31.293615556281953,15,14.5,6.7,12.0,453.0,531.0
7.5,13,20,48672,37.19493693794182,14,16.5,6.6,12.0,507.5,552.5
5.0,19,29,747630,20.037465150684664,15,24.0,3.5,6.0,271.0,254.0
6.0,11,18,4138344,29.732590774193973,14,14.5,6.7,12.0,453.0,531.0
5.0,23,33,905580,12.90432456192716,14,28.0,2.4,4.0,177.0,161.0
5.0,23,34,905580,12.90432456192716,14,28.5,2.4,4.0,177.0,161.0
5.0,23,34,905580,12.90432456192716,14,28.5,2.4,4.0,177.0,161.0
5.0,23,34,905580,12.90432456192716,14,28.5,2.4,4.0,177.0,161.0
5.0,23,33,905580,13.852099812238194,14,28.0,2.4,4.0,190.0,162.0
5.0,23,34,905580,13.852099812238194,14,28.5,2.4,4.0,190.0,162.0
5.0,20,30,905580,19.75746867956079,14,25.0,3.5,6.0,271.0,254.0
5.0,23,34,905580,13.852099812238194,14,28.5,2.4,4.0,190.0,162.0
5.0,20,30,905580,19.75746867956079,14,25.0,3.5,6.0,271.0,254.0
6.0,11,18,4038384,29.78038363876891,14,14.5,6.7,12.0,453.0,531.0
6.0,11,18,2769156,30.53784321383896,14,14.5,6.7,12.0,453.0,531.0
6.0,11,18,1935344,31.293615556281953,14,14.5,6.7,12.0,453.0,531.0
5.0,23,33,790856,12.517605232549263,14,28.0,2.5,5.0,170.0,177.0
6.0,24,31,790856,12.517605232549263,14,27.5,2.5,5.0,170.0,177.0
6.0,23,29,790856,8.467791774959796,14,26.0,2.0,4.0,115.0,125.0
6.0,23,29,790856,8.467791774959796,14,26.0,2.0,4.0,115.0,125.0
6.0,24,31,790856,12.517605232549263,14,27.5,2.5,5.0,170.0,177.0
6.0,24,31,790856,12.517605232549263,14,27.5,2.5,5.0,170.0,177.0
5.0,24,34,790856,8.467791774959796,14,29.0,2.0,4.0,115.0,125.0
6.0,24,31,790856,12.517605232549263,14,27.5,2.5,5.0,170.0,177.0
5.0,23,33,790856,12.517605232549263,14,28.0,2.5,5.0,170.0,177.0
5.0,23,33,790856,12.517605232549263,14,28.0,2.5,5.0,170.0,177.0
5.0,23,33,790856,12.517605232549263,14,28.0,2.5,5.0,170.0,177.0
5.0,24,34,790856,8.467791774959796,14,29.0,2.0,4.0,115.0,125.0
5.0,26,35,7791168,8.318365804302225,15,30.5,1.8,4.0,132.0,128.0
4.0,26,34,7791168,8.318365804302225,15,30.0,1.8,4.0,132.0,128.0
5.0,26,35,7791168,8.318365804302225,15,30.5,1.8,4.0,132.0,128.0
4.0,26,34,7791168,8.318365804302225,15,30.0,1.8,4.0,132.0,128.0
4.0,26,34,7791168,8.318365804302225,15,30.0,1.8,4.0,132.0,128.0
4.0,26,34,7791168,8.318365804302225,15,30.0,1.8,4.0,132.0,128.0
5.0,22,30,7791168,9.956831796058722,15,26.0,2.4,4.0,158.0,162.0
5.0,22,30,7791168,9.956831796058722,15,26.0,2.4,4.0,158.0,162.0
5.0,17,22,135261,22.005982564883546,14,19.5,4.0,6.0,260.0,271.0
6.0,15,20,263403,20.830922664451172,14,17.5,4.0,6.0,260.0,271.0
5.0,17,21,263403,20.830922664451172,14,19.0,4.0,6.0,260.0,271.0
7.5,19,28,940376,22.53883855597347,13,23.5,3.0,6.0,310.0,325.0
6.0,18,26,2672649,20.272213872161316,14,22.0,3.0,6.0,300.0,310.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
5.0,22,30,8723976,10.637242289199838,15,26.0,2.5,5.0,170.0,177.0
5.0,22,30,8723976,10.637242289199838,15,26.0,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
5.0,22,30,8723976,10.637242289199838,15,26.0,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
5.0,22,30,8723976,10.637242289199838,15,26.0,2.5,5.0,170.0,177.0
5.0,22,30,8723976,10.637242289199838,15,26.0,2.5,5.0,170.0,177.0
6.0,21,31,8723976,12.514402693176281,15,26.0,2.0,4.0,200.0,207.0
6.0,21,31,8723976,12.514402693176281,15,26.0,2.0,4.0,200.0,207.0
6.0,29,40,8723976,8.760081885223396,15,34.5,2.0,4.0,140.0,236.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
6.0,23,30,8723976,10.637242289199838,15,26.5,2.5,5.0,170.0,177.0
6.0,29,40,8723976,8.760081885223396,15,34.5,2.0,4.0,140.0,236.0
5.0,17,22,135261,22.005982564883546,15,19.5,4.0,6.0,260.0,271.0
6.0,15,19,263403,20.830922664451172,15,17.0,4.0,6.0,260.0,271.0
5.0,17,21,263403,20.830922664451172,15,19.0,4.0,6.0,260.0,271.0
6.0,20,25,4051884,12.290750980918105,14,22.5,2.7,4.0,187.0,186.0
6.0,20,25,4051884,17.74600409009566,14,22.5,3.5,6.0,270.0,248.0
5.0,17,22,4051884,17.74600409009566,14,19.5,3.5,6.0,270.0,248.0
6.0,20,25,4678464,12.175683558459813,14,22.5,2.7,4.0,187.0,186.0
5.0,18,24,4678464,17.579863961412567,14,21.0,3.5,6.0,270.0,248.0
5.0,17,22,4678464,17.579863961412567,14,19.5,3.5,6.0,270.0,248.0
5.0,18,24,4678464,17.579863961412567,14,21.0,3.5,6.0,270.0,248.0
5.0,17,22,4678464,17.579863961412567,14,19.5,3.5,6.0,270.0,248.0
6.0,20,27,4051884,12.290750980918105,15,23.5,2.7,4.0,187.0,186.0
5.0,18,24,4051884,17.74600409009566,15,21.0,3.5,6.0,270.0,248.0
5.0,17,23,4051884,17.74600409009566,15,20.0,3.5,6.0,270.0,248.0
5.0,18,24,4678464,17.579863961412567,15,21.0,3.5,6.0,270.0,248.0
